dataset,dataset_label,structure,order,variable,label,type,datatype,length,key,mandatory,role,codelist,origin,comment,core,change
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,9,CMCLAS,Medication Class,Char,text,42,,No,VARIABLE QUALIFIER,DRUGDICT,Assigned,ATC Level 1,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,10,CMDOSE,Dose per Administration,Num,integer,8,,No,RECORD QUALIFIER,,"CRF Page 124, 125, 126",,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,11,CMDOSU,Dose Units,Char,text,17,,No,VARIABLE QUALIFIER,,"CRF Page 124, 125, 126",,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,12,CMDOSFRQ,Dosing Frequency per Interval,Char,text,15,,No,VARIABLE QUALIFIER,CMFREQ,"CRF Page 124, 125, 126",,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,13,CMROUTE,Route of Administration,Char,text,200,,No,VARIABLE QUALIFIER,CMROUTE,"CRF Page 124, 125, 126",,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,14,VISITNUM,Visit Number,Num,float,8,,No,TIMING,VISITNUM,"CRF Page 124, 125, 126",,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,15,VISIT,Visit Name,Char,text,19,,No,TIMING,VISIT,"CRF Page 124, 125, 126",,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,16,VISITDY,Planned Study Day of Visit,Num,integer,8,,No,TIMING,,Derived,TV.VISITDY,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,17,CMDTC,Date/Time of Collection,Char,date,10,,No,TIMING,,"CRF Page 124, 125, 126",,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,18,CMSTDTC,Start Date/Time of Medication,Char,date,10,4,No,TIMING,,"CRF Page 124, 125, 126",,,
