dataset,dataset_label,structure,order,variable,label,type,datatype,length,key,mandatory,role,codelist,origin,comment,core,change
SUPPDS,Supplemental Qualifiers for DS,"One record per IDVAR, IDVARVAL, and QNAM value per subject",5,IDVARVAL,Identifying Variable Value,Char,text,200,5,No,IDENTIFIER,,Derived,Value of DSSEQ of corresponding parent record,,
SUPPDS,Supplemental Qualifiers for DS,"One record per IDVAR, IDVARVAL, and QNAM value per subject",6,QNAM,Qualifier Variable Name,Char,text,8,6,Yes,TOPIC,,Assigned,,,
SUPPDS,Supplemental Qualifiers for DS,"One record per IDVAR, IDVARVAL, and QNAM value per subject",7,QLABEL,Qualifier Variable Label,Char,text,40,,Yes,SYNONYM QUALIFIER,,"CRF Pages 106, 139",,,
SUPPDS,Supplemental Qualifiers for DS,"One record per IDVAR, IDVARVAL, and QNAM value per subject",8,QVAL,Data Value,Char,text,200,,Yes,RESULT,,"CRF Pages 106, 139",see value level metadata,,
SUPPDS,Supplemental Qualifiers for DS,"One record per IDVAR, IDVARVAL, and QNAM value per subject",9,QORIG,Origin,Char,text,200,,Yes,RESULT QUALIFIER,,Assigned,,,
SUPPDS,Supplemental Qualifiers for DS,"One record per IDVAR, IDVARVAL, and QNAM value per subject",10,QEVAL,Evaluator,Char,text,200,,No,RESULT QUALIFIER,QEVAL,Assigned,,,
SUPPLB,Supplemental Qualifiers for LB,"One record per IDVAR, IDVARVAL, and QNAM value per subject",1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
SUPPLB,Supplemental Qualifiers for LB,"One record per IDVAR, IDVARVAL, and QNAM value per subject",2,RDOMAIN,Related Domain Abbreviation,Char,text,2,2,Yes,IDENTIFIER,,Assigned,"RDOMAIN=""LB""",,
SUPPLB,Supplemental Qualifiers for LB,"One record per IDVAR, IDVARVAL, and QNAM value per subject",3,USUBJID,Unique Subject Identifier,Char,text,11,3,Yes,IDENTIFIER,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",,
SUPPLB,Supplemental Qualifiers for LB,"One record per IDVAR, IDVARVAL, and QNAM value per subject",4,IDVAR,Identifying Variable,Char,text,8,4,No,IDENTIFIER,,Assigned,"IDVAR=""LBSEQ""",,
SUPPLB,Supplemental Qualifiers for LB,"One record per IDVAR, IDVARVAL, and QNAM value per subject",5,IDVARVAL,Identifying Variable Value,Char,text,200,5,No,IDENTIFIER,,Derived,Value of LBSEQ of corresponding parent record,,
SUPPLB,Supplemental Qualifiers for LB,"One record per IDVAR, IDVARVAL, and QNAM value per subject",6,QNAM,Qualifier Variable Name,Char,text,8,6,Yes,TOPIC,,Assigned,,,
SUPPLB,Supplemental Qualifiers for LB,"One record per IDVAR, IDVARVAL, and QNAM value per subject",7,QLABEL,Qualifier Variable Label,Char,text,40,,Yes,SYNONYM QUALIFIER,,Assigned,,,
SUPPLB,Supplemental Qualifiers for LB,"One record per IDVAR, IDVARVAL, and QNAM value per subject",8,QVAL,Data Value,Char,text,200,,Yes,RESULT,,Derived,see value level metadata,,
SUPPLB,Supplemental Qualifiers for LB,"One record per IDVAR, IDVARVAL, and QNAM value per subject",9,QORIG,Origin,Char,text,200,,Yes,RESULT QUALIFIER,,Assigned,,,
SUPPLB,Supplemental Qualifiers for LB,"One record per IDVAR, IDVARVAL, and QNAM value per subject",10,QEVAL,Evaluator,Char,text,200,,No,RESULT QUALIFIER,QEVAL,Assigned,,,
