dataset,dataset_label,structure,order,variable,label,type,datatype,length,key,mandatory,role,codelist,origin,comment,core,change
DM,Demographics,One record per subject,16,SEX,Sex,Char,text,1,,Yes,Record Qualifier,SEX,CRF Page 7,,Req,unchanged
DM,Demographics,One record per subject,17,RACE,Race,Char,text,78,,No,Record Qualifier,RACE,CRF Page 7,,Exp,unchanged; codelist RACE not in sdtmct-2026-03-27
DM,Demographics,One record per subject,18,ETHNIC,Ethnicity,Char,text,25,,No,Record Qualifier,ETHNIC,Derived,"Derived from Origin entered on CRF: ETHINC=""HISPANIC OR LATINO"" if Origin=""Hispanic"". Otherwise ETHNIC=""NOT HISPANIC OR LATINO""",Perm,unchanged; codelist ETHNIC not in sdtmct-2026-03-27
DM,Demographics,One record per subject,19,ARMCD,Planned Arm Code,Char,text,8,,No,Record Qualifier,ARMCD,Assigned,According to randomization list,Exp,core Req -> Exp
DM,Demographics,One record per subject,20,ARM,Description of Planned Arm,Char,text,20,,No,Synonym Qualifier,ARM,Assigned,According to randomization list,Exp,core Req -> Exp
DM,Demographics,One record per subject,21,ACTARMCD,Actual Arm Code,Char,text,8,,No,Record Qualifier,ARMCD,Derived,Derived from EX,Exp,unchanged
DM,Demographics,One record per subject,22,ACTARM,Description of Actual Arm,Char,text,20,,No,Synonym Qualifier,ARM,Derived,Derived from EX,Exp,unchanged
DM,Demographics,One record per subject,23,ARMNRS,Reason Arm and/or Actual Arm is Null,Char,text,40,,No,Record Qualifier,ARMNULRS,,,Exp,added (Exp in SDTMIG 3.4)
DM,Demographics,One record per subject,24,ACTARMUD,Description of Unplanned Actual Arm,Char,text,200,,No,Record Qualifier,,,,Exp,added (Exp in SDTMIG 3.4)
DM,Demographics,One record per subject,25,COUNTRY,Country,Char,text,3,,Yes,Record Qualifier,COUNTRY,Derived,Derived from site information,Req,unchanged
DM,Demographics,One record per subject,26,DMDTC,Date/Time of Collection,Char,date,10,,No,Timing,,CRF Page 7,,Perm,unchanged
DM,Demographics,One record per subject,27,DMDY,Study Day of Collection,Num,integer,8,,No,Timing,,Derived,,Perm,unchanged
SUPPDM,Supplemental Qualifiers for DM,One record per supplemental qualifier per related parent domain record(s),1,STUDYID,Study Identifier,Char,text,12,1,Yes,Identifier,,CRF Page 7,,Req,unchanged
SUPPDM,Supplemental Qualifiers for DM,One record per supplemental qualifier per related parent domain record(s),2,RDOMAIN,Related Domain Abbreviation,Char,text,2,2,Yes,Identifier,DOMAIN,Assigned,"RDOMAIN=""AE""",Req,unchanged
SUPPDM,Supplemental Qualifiers for DM,One record per supplemental qualifier per related parent domain record(s),3,USUBJID,Unique Subject Identifier,Char,text,11,3,Yes,Identifier,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",Req,unchanged
SUPPDM,Supplemental Qualifiers for DM,One record per supplemental qualifier per related parent domain record(s),4,IDVAR,Identifying Variable,Char,text,8,4,No,Identifier,,Assigned,"IDVAR="" """,Exp,unchanged
SUPPDM,Supplemental Qualifiers for DM,One record per supplemental qualifier per related parent domain record(s),5,IDVARVAL,Identifying Variable Value,Char,text,200,5,No,Identifier,,Assigned,"IDVARVAL= "" """,Exp,unchanged
SUPPDM,Supplemental Qualifiers for DM,One record per supplemental qualifier per related parent domain record(s),6,QNAM,Qualifier Variable Name,Char,text,8,6,Yes,Topic,,Assigned,,Req,unchanged
SUPPDM,Supplemental Qualifiers for DM,One record per supplemental qualifier per related parent domain record(s),7,QLABEL,Qualifier Variable Label,Char,text,40,,Yes,Synonym Qualifier,,Assigned,,Req,unchanged
SUPPDM,Supplemental Qualifiers for DM,One record per supplemental qualifier per related parent domain record(s),8,QVAL,Data Value,Char,text,200,,Yes,Result Qualifier,,Derived,see value level metadata,Req,unchanged
SUPPDM,Supplemental Qualifiers for DM,One record per supplemental qualifier per related parent domain record(s),9,QORIG,Origin,Char,text,200,,Yes,Record Qualifier,,Assigned,,Req,unchanged
SUPPDM,Supplemental Qualifiers for DM,One record per supplemental qualifier per related parent domain record(s),10,QEVAL,Evaluator,Char,text,200,,No,Record Qualifier,EVAL,Assigned,,Exp,unchanged
SE,Subject Elements,One record per actual Element per subject,1,STUDYID,Study Identifier,Char,text,12,1,Yes,Identifier,,CRF Page 7,,Req,unchanged
SE,Subject Elements,One record per actual Element per subject,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,Identifier,,Assigned,,Req,unchanged
SE,Subject Elements,One record per actual Element per subject,3,USUBJID,Unique Subject Identifier,Char,text,11,2,Yes,Identifier,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",Req,unchanged
SE,Subject Elements,One record per actual Element per subject,4,SESEQ,Sequence Number,Num,integer,8,,Yes,Identifier,,Derived,Sequential number identifying records within each USUBJID,Req,unchanged
SE,Subject Elements,One record per actual Element per subject,5,ETCD,Element Code,Char,text,200,3,Yes,Topic,ETCD,Assigned,,Req,unchanged
SE,Subject Elements,One record per actual Element per subject,6,ELEMENT,Description of Element,Char,text,200,,No,Synonym Qualifier,ELEMENT,Protocol,,Perm,unchanged
SE,Subject Elements,One record per actual Element per subject,7,SESTDTC,Start Date/Time of Element,Char,date,10,,Yes,Timing,,Derived,Earliest date/time when data pertaining to that element were collected,Req,unchanged
SE,Subject Elements,One record per actual Element per subject,8,SEENDTC,End Date/Time of Element,Char,date,10,,No,Timing,,Derived,Last date/time when data pertaining to that element were collected,Exp,unchanged
SE,Subject Elements,One record per actual Element per subject,9,SESTDY,Study Day of Start of Element,Num,integer,8,,No,Timing,,,,Perm,added (Perm in SDTMIG 3.4)
SE,Subject Elements,One record per actual Element per subject,10,SEENDY,Study Day of End of Element,Num,integer,8,,No,Timing,,,,Perm,added (Perm in SDTMIG 3.4)
SE,Subject Elements,One record per actual Element per subject,11,SEUPDES,Description of Unplanned Element,Char,text,200,,No,Synonym Qualifier,,Assigned,,Perm,unchanged
SV,Subject Visits,One record per actual or planned visit per subject,1,STUDYID,Study Identifier,Char,text,12,1,Yes,Identifier,,CRF Page 7,,Req,unchanged
SV,Subject Visits,One record per actual or planned visit per subject,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,Identifier,,Assigned,,Req,unchanged
